'a'ba'ke 阿巴克
'yao'yao'xiao'ma 摇摇小马
'yao'ye'de'wu'zhe 摇曳的舞者
'yao'ye'de'zhi're'huo'hua 摇曳的炙热火花
'yao'yi'chen'bu'ran'cai'xing 要一尘不染才行
'yao'yong'yuan'li 要用原力
'yao'zhu 峣柱
'yao'zhuo'yang'hua 耀灼阳华
'ye'bo'shi 夜泊石
'ye'cha 夜叉
'ye'cha'nuo'mian 夜叉傩面
'ye'cha'zhi'yuan 夜叉之愿
'ye'de 叶德
'ye'fang'mo'ke'zhi'zhao 夜访陌客之沼
'ye'feng'shu'chang 夜风舒畅
'ye'fu 野伏
'ye'fu'luo'xi'ni'ya 叶芙罗西妮娅
'ye'fu'zhong 野伏众
'ye'fu'zuo 夜蝠座
'ye'gan'yi'zhou 野干役咒
'ye'gan'yi'zhou'sha'sheng'ying 野干役咒杀生樱
'ye'ge'er 叶戈尔
'ye'gu'ji'rou'chuan 野菇鸡肉串
'ye'guan'qi'su 夜观七宿
'ye'guo'mu 业果木
'ye'guo'mu'chen'lie'zhuo 业果木陈列桌
'ye'guo'mu'fan'qin'na'can'yi 业果木反擒拿餐椅
'ye'guo'mu'jing'yu'chang'yi 业果木静语长椅
'ye'guo'mu'san'huo'pu'wei 业果木散货铺位
'ye'guo'mu'san'zong'mian'guang'gao'pai 业果木三纵面广告牌
'ye'guo'mu'yuan'hai'ye'huo'huo'jia 业果木远海液货货架
'ye'hang'yuan'de'liao'wang'ta 夜航员的瞭望塔
'ye'he'ban'shen'chen'zhi'wen 椰褐般深沉之纹
'ye'hong'zhu'yue 夜虹逐跃
'ye'hu'gong'zhen'pian 野狐供真篇
'ye'hu'shuo'chan 野狐说禅
'ye'hua'ji'yi'de'lv'ye 野花记忆的绿野
'ye'hun 夜魂
'ye'hun'beng'fa 夜魂迸发
'ye'hun'chuan'di 夜魂传递
'ye'hun'jia'chi 夜魂加持
'ye'hun'shi'lian 夜魂试炼
'ye'hun'shi'lian'zhi'suo 夜魂试炼之所
'ye'hun'tu'teng 夜魂图腾
'ye'hun'xing'zhi 夜魂性质
'ye'hun'zhan'shi 夜魂战士
'ye'hun'zhi 夜魂值
'ye'hun'zhi'ling 夜魂之灵
'ye'huo'de'hao'lie 野火的豪烈
'ye'jian'lei 叶间泪
'ye'jiang'guo'zhi'lu 野浆果之路
'ye'ka'jie'lin'na 叶卡捷琳娜
'ye'ke'zhi'fang 夜客致访
'ye'kui'xun'ji 夜馈寻迹
'ye'lai'fei 叶莱菲
'ye'lan 夜兰
'ye'li'men 耶里门
'ye'lian'na 叶莲娜
'ye'lin'zhu 野林猪
'ye'liu'bing'jie 液流冰结
'ye'liu'dong'liang 液流动量
'ye'lun'wu'zhe 叶轮舞者
'ye'luo'feng'sui 叶落风随
'ye'luo'tian'ya 叶落天涯
'ye'luo'ya 叶洛亚
'ye'lv'shan'wei'ge 叶绿扇尾鸽
'ye'ma'quan 野马泉
'ye'mao'zi 夜猫子
'ye'ming'ji'li'ming'zhong'jiang'dao'lai 也铭记黎明终将到来
'ye'ming'shan'xun 叶名山薰
'ye'ming'ying'de'wei'yu 夜鸣莺的尾羽
'ye'nai 椰奶
'ye'neng'liao'dao 也能撂倒
'ye'neng'yong 也能用
'ye'qiang'wei'zhi'zhang 野蔷薇之章
'ye'qiang'wei'zuo 野蔷薇座
'ye'qu'ang'ran 野趣盎然
'ye'ran'cao 耶然草
'ye'se'ming'yan'yu 夜色明眼鱼
'ye'se'wu'sheng 夜色无声
'ye'sha'fa'te 耶沙法特
'ye'shen 夜神
'ye'shen'guo'du 夜神国度
'ye'shen'zhi'guo 夜神之国
'ye'shuo'de 烨烁的
'ye'shuo'de'yuan'xing 烨烁的远星
'ye'song'you'jing 谒颂幽境
'ye'song'zhu 谒颂主
'ye'suo'lei'hen 谒索雷痕
'ye'tai'ran'su 液态燃素
'ye'tan'bing 椰炭饼
'ye'wai'song'mu'lu'deng 野外松木路灯
'ye'wan'xian'xian'de'ming'yue 夜晚显现的明月
'ye'wen 叶纹
'ye'xiang'qu 夜想曲
'ye'xiao 夜枭
'ye'xiao'zhi'zhang 夜枭之章
'ye'xiao'zuo 夜枭座
'ye'xing 夜行
'ye'xing'an'huo 夜行暗火
'ye'xing'deng'zuo 夜行灯座
'ye'xun 野蕈
'ye'xun'ying'yi 夜巡影翼
'ye'xun'zhi'huo 夜巡之获
'ye'ya 夜鸦
'ye'yang 椰羊
'ye'yang'dou'ji 夜阳斗技
'ye'yi 夜翳
'ye'yi'de'tong'gan 夜翳的通感
'ye'yi'ru'xin 野逸入心
'ye'yin'fang'ming 叶隐芳名
'ye'ying'zhi'ge 夜莺之歌
'ye'ying'zuo 夜莺座
'ye'you'suo'meng 夜有所梦
'ye'yu'ci'li 夜域赐礼
'ye'yu'de'mi'si 夜域的迷思
'ye'zhang 业障
'ye'zhi'tou'nao 夜之头脑
'ye'zhi'yu 夜之玉
'ye'zhu'de'shou'ji 夜主的授记
'ye'zhu'gong'zhu 野猪公主
'ye'zong'luo'pan 野踪罗盘
'ye'zong'qi'qiu 野踪气球
'yi'a'bu 伊阿布
'yi'an'shan 伊安珊
'yi'ba'yao'shi'kai'yi'ba'suo 一把钥匙开一把锁
'yi'ban'yin'liang 一瓣荫凉
'yi'bang'cao'jian 异邦草翦
'yi'bang'de'xing'huo 异邦的星火
'yi'bang'jing'lei 异邦惊雷
'yi'bang'ren'xuan'hua'lv 异邦人喧哗旅
'yi'bang'ren'yu'yi'bang'ren 异邦人与异邦人
'yi'bang'tie'feng 异邦铁风
'yi'bang'yan'feng 异邦岩锋
'yi'bo'lai 伊波莱
'yi'bo'san'zhe'de'zhan'zhuan 一波三折的辗转
'yi'bu 伊部
'yi'bu'deng'tian 一步登天
'yi'bu'zhi'yao 一步之遥
'yi'cai 溢彩
'yi'cai'er 伊菜尔
'yi'cai'san'li 衣裁三礼
'yi'cai'xin'nian 溢彩心念
'yi'cha'huo 伊察霍
'yi'chang'feng'bo 一场风波
'yi'chang'gong'cha 一场公差
'yi'chang'san'tan 一唱三叹
'yi'chang'yu'qi'nei'de'huang'yan 一场预期内的谎言
'yi'chang'zhi'guang 依常之光
'yi'cheng 一成
'yi'cheng'jing'shi 以澄晶实
'yi'chu'ji'fa 一触即发
'yi'ci 一次
'yi'ci'cheng'gong'de'shou'lie 一次成功的狩猎
'yi'ci'kun 伊茨昆
'yi'ci'wei'lao 以此为牢
'yi'cun'qiang 一寸强
'yi'da 伊达
'yi'da'de'tiao'zhan'zhuang 伊达的挑战状
'yi'da'li 伊达里
'yi'dao'duan'jue 一刀断绝
'yi'de'li'xi 伊德里西
'yi'deng 移灯
'yi'di'an 艾蒂安
'yi'di'li 伊蒂莉
'yi'di'ya 伊迪娅
'yi'dian'hong 一点红
'yi'dian'jian'shu 仪典剑术
'yi'dian'zhi'hua 伊甸之花
'yi'dong'su'du 移动速度
'yi'dong'su'du'jiang'di 移动速度降低
'yi'dou'hong'lin 一斗轰临
'yi'du'cu'wei'ze'ren 以督促为责任
'yi'du'kan 伊杜坎
'yi'du'kan'de'mi'cang 伊杜坎的秘藏
'yi'du'li'wei'xian'jue 以独立为先决
'yi'duan'xu'li 一段蓄力
'yi'en 伊恩
'yi'er'jia 伊尔佳
'yi'er'ma 伊尔玛
'yi'er'ma'li 伊尔玛里
'yi'er'mei 伊尔梅
'yi'er'ming 伊尔明
'yi'er'ming'su'er 伊尔明苏尔
'yi'fa 伊法
'yi'fan'feng'shun'de'mei'yuan 一帆风顺的美愿
'yi'fan'liao'zhu'ming 以燔燎铸名
'yi'fan'nuo'wei'qi 伊凡诺维奇
'yi'fen'tong'zhi 一份通知
'yi'fen'yu'qi'nei'de'ji'hua 一份预期内的计划
'yi'fen'zhi'ju 义愤之炬
'yi'gang 义刚
'yi'ge'dong'tian'de'tong'hua 一个冬天的童话
'yi'ge'lv'ren 一个旅人
'yi'ge'wei'da'de'ji'hua 一个伟大的计划
'yi'ge'yu'ji'nei'de'jie'ju 一个预计内的结局
'yi'guan 义贯
'yi'guan 仪倌
'yi'guang'suo'hun'dan 溢光索魂弹
'yi'guang'yun'xing 熠光云行
'yi'gui 衣柜
'yi'guo'qi'shi'li'yue'xing'ji 异国骑士璃月行记
'yi'guo'xiang'feng 异国相逢
'yi'guo'zhi'zhan 异国之盏
'yi'hai'ning'zhu 异海凝珠
'yi'hai'yuan'shui 异海源水
'yi'hai'zhen'zhu 异海珍珠
'yi'hai'zhi'kuai 异海之块
'yi'he'ka 伊赫卡
'yi'he'shi'wei'yue'shu 以核实为约束
'yi'hua 忆画
'yi'hui'gui'du'jian 熠辉轨度剑
'yi'hui'xu'yu 遗辉絮语
'yi'hun'zheng'xin 以魂证心
'yi'huo'zhi'ming 以火织命
'yi'ji 移即
'yi'ji'fang'wei'zhe 遗迹防卫者
'yi'ji'ji'bing 遗迹机兵
'yi'ji'jian'ji'zhe 遗迹歼击者
'yi'ji'ju'she 遗迹巨蛇
'yi'ji'ju'xiang 遗迹巨像
'yi'ji'lie'zhe 遗迹猎者
'yi'ji'long'shou 遗迹龙兽
'yi'ji'shi'zhu 遗迹石柱
'yi'ji'shou'wei 遗迹守卫
'yi'ji'xian'sheng 遗迹先生
'yi'ji'xue'ye 以及血液
'yi'ji'xun'yi'zhe 遗迹巡弋者
'yi'ji'zhen'cha'zhe 遗迹侦察者
'yi'ji'zhi'zhu 遗迹之烛
'yi'ji'zhong'ji 遗迹重机
'yi'ji'zhong'pao 遗迹重炮
'yi'jian'shuang'qiu'qiu 一箭双丘丘
'yi'jian'wei'shi 以剑为誓
'yi'jian'xiao'shi 一件小事
'yi'jiao'feng'guang 一角风光
'yi'jiao'you'fang 一角幽芳
'yi'jie 壹阶
'yi'jie'de'jiu'shi'zhu 异界的救世主
'yi'jie'sheng'ming'he 异界生命核
'yi'jie'yu'ying 异界余影
'yi'jie'zhi'xing 异界之星
'yi'jing'yi'wei 一经一纬
'yi'jiu'rang'ren'chui'xian'yu'di 依旧让人垂涎欲滴
'yi'ju 弈局
'yi'ju'ru'ju 以局入局
'yi'jue'sheng'fu 一决胜负
'yi'jun 毅钧
'yi'ka'lai'ning 伊卡莱宁
'yi'ka'li 伊卡力
'yi'ka'you 伊卡尤
'yi'kai'ka 伊凯卡
'yi'ke'di 伊柯蒂
'yi'ke'na 伊克娜
'yi'kou'chi'diao'le'ji'shi'wan'mo'la 一口吃掉了几十万摩拉
'yi'kou'jiu'xing 一口就行
'yi'kuai'shi 一筷食
'yi'kui 伊葵
'yi'kui'ku'xu'ci'bo'long'ku'lei'er 伊奎库叙茨博隆库雷尔
'yi'kuo 一阔
'yi'la'de 伊拉德
'yi'la'jie 伊拉杰
'yi'la'pa 伊拉帕
'yi'la'zi 伊拉兹
'yi'lai'er 伊莱尔
'yi'lai'pa 伊莱帕
'yi'lai'yu'yi 仪来羽衣
'yi'lan'dan'xiang 一篮淡香
'yi'lan'zhong'shan'xiao 一览众山小
'yi'lei'er 伊蕾尔
'yi'li'fu'ren 以理服人
'yi'li'mi'ya 伊莉米娅
'yi'li'sa 伊利萨
'yi'li'sha'bai'di'en 伊丽莎白迪恩
'yi'li'si 伊丽丝
'yi'li'ya'si 伊利亚斯
'yi'li'ye'dao 伊黎耶岛
'yi'li'ye'de'ye'jing'ling 伊黎耶的野精灵
'yi'li'ye'lin'qu 伊黎耶林区
'yi'li'ye'zhi'ge 伊黎耶之歌
'yi'lian 伊莲
'yi'lian'na 伊莲娜
'yi'liang'zhi'wei'yuan'ze 以良知为原则
'yi'liu'miao'yu'de'ji'dian'suo 遗留庙宇的祭奠所
'yi'long'bu 遗珑埠
'yi'long'zhi'rong 遗龙之荣
'yi'lu'ni 伊露妮
'yi'luo'de'mo'dao'shu 遗落的魔导书
'yi'luo'ke 伊洛克
'yi'luo'si 伊洛丝
'yi'lv'you'xiang 一缕幽香
'yi'ma'lei 伊马雷
'yi'mai'yu'miao'xiang 义卖与妙想
'yi'mei'na 伊梅娜
'yi'mei'yin'zhang 一枚印章
'yi'meng'luo'ka 伊蒙洛卡
'yi'meng'qi'cai 异梦绮彩
'yi'meng'rong'mei 异梦溶媒
'yi'meng'zhi'yu 一梦治愈
'yi'meng'zhuan'hua 异梦转化
'yi'mi 伊蜜
'yi'miao'zhong'kuai'kuai 一秒钟快快
'yi'mo 已殁
'yi'mo'la 伊莫拉
'yi'mo'sha 伊莫莎
'yi'mo'wu'shi'de'yuan'nian 已殁武士的怨念
'yi'na'mu 伊娜姆
'yi'ni 伊妮
'yi'ni'shui'jie 旖旎水界
'yi'nian 宜年
'yi'nie'fu 伊涅芙
'yi'nuo'mi'ya 伊诺米娅
'yi'peng'lv'ye 一捧绿野
'yi'qi'ka'hu'yi'pi'li'de'bi'hu 依奇卡胡伊皮利的庇护
'yi'qi'lai'wan 一起来玩
'yi'qi'lai'wan'ba 一起来玩吧
'yi'qi'ma'wa'xia 伊齐玛瓦夏
'yi'qi'mu'na'xu 依栖目那须
'yi'qia'ku'na 伊恰库纳
'yi'qiao 意巧
'yi'qie'dai'jia'de'hui'xuan 一切代价的回旋
'yi'qie'rong'guang'de'gui'chu 一切荣光的归处
'yi'qing 宜清
'yi'qiu'zhen'wei'zhi'shou 以求真为职守
'yi'qu'yao'qin'yu'shui'ting 一曲瑶琴与谁听
'yi'ran 一然
'yi'ran'zi'de'de'you'ya 怡然自得的优雅
'yi'ren 役人
'yi'ren'de'shi'shi'ke'ke 役人的时时刻刻
'yi'ren'de'zhi'shi'huai'biao 役人的制式怀表
'yi'ren'fu'xing'zhi'ju 异人祓行芝居
'yi'ren'ju'liu'di 异人居留地
'yi'ren'yi'kui 异人一揆
'yi'ri'zhi'han 一日之寒
'yi'ru'feng'zhong'can'zhu 已如风中残烛
'yi'sa'ke 伊萨克
'yi'sa'mi 伊萨米
'yi'sang 伊桑
'yi'se'fang'ge'di'zhuan 异色方格地砖
'yi'se'jie'jing'shi 异色结晶石
'yi'se'qiu'qiu'zhang'yu 异色球球章鱼
'yi'se'san'lian'xing 异色三连星
'yi'se'sheng'wu 异色生物
'yi'sha'duo 伊莎朵
'yi'sha'jia 伊莎佳
'yi'shan 移山
'yi'shen'de'cai'xiang 溢神的猜想
'yi'shen'de'lun'zheng 溢神的论证
'yi'sheng 医生
'yi'shi 医师
'yi'shi'bian'lei 遗世边垒
'yi'shi'jie'xing'ji 异世界行记
'yi'shi'qu'de'mo'ri 已逝去的末日
'yi'shi'quan 议事权
'yi'shi'shan'hu 一室珊瑚
'yi'shi'tai 仪式台
'yi'shi'xia'yi'ci'chong'feng'de'kai'shi 亦是下一次重逢的开始
'yi'shi'xiang'feng 异世相逢
'yi'shi'yu'shu'ye'fan'fei'jian 易逝于书页翻飞间
'yi'shu 弈术
'yi'shu'jiu'shi 艺术就是
'yi'shu'yu'sheng'huo 艺术与生活
'yi'si 遗嗣
'yi'si'bao'shi'du'jiao'yu 疑似宝石独角鱼
'yi'si'dai'lai 伊丝黛莱
'yi'si'ding'hao'si 伊斯丁豪斯
'yi'si'gu'cheng 夷斯古城
'yi'si'liang'ban'hun'dun'qiu 一撕两半混沌球
'yi'si'mei'nuo 伊斯梅诺
'yi'si'ta'lu 伊斯塔露
'yi'si'yu'long 遗祀玉珑
'yi'si'zhen'bi'ji 绎思振笔集
'yi'sui'de'ce'yuan 依随的策援
'yi'suo'tei 以索忒
'yi'tang'er'ying'san'ming'shen 一汤二鹰三鸣神
'yi'tiao'feng'dan'xin'xi 一条枫丹信息
'yi'tiao'ming'jiao'luo'di'ya'de'yu 一条名叫洛蒂娅的鱼
'yi'tu'ti'ya 伊图提娅
'yi'wa'yi 伊瓦伊
'yi'wai'ding'dan 意外订单
'yi'wai'zhi'ti 意外之题
'yi'wan'bu'zhe 易弯不折
'yi'wan'nuo'fu'na 伊万诺夫娜
'yi'wan'wan'sha'li'zui'hou'de'qin'wang 一万万砂砾最后的亲王
'yi'wang'de'rong'qi 遗忘的容器
'yi'wei'de'rong'rong'nuan'yi 依偎的融融暖意
'yi'wei'lai'lin 依维莱琳
'yi'wei'si 伊维斯
'yi'wei'te 伊薇特
'yi'wen'ji'shi 轶闻纪事
'yi'xi'duo'er 伊西多尔
'yi'xi'ke'yi'bian'ren'de'bu'gao 依稀可以辨认的布告
'yi'xi'mu 伊西姆
'yi'xi'zhu'tu'xun'li 忆昔诸途巡历
'yi'xian 一弦
'yi'xian'duan'shi 一线断时
'yi'xiang'bin'ying 衣香鬓影
'yi'xiang'jie'qu 异想街区
'yi'xiang'jin'ying 衣香襟影
'yi'xiang'ling'luo'de'yuan'wu 异想零落的圆舞
'yi'xiang'xing'zhang 宜享星章
'yi'xiang'yi'ke 异乡异客
'yi'xiao'dao'tian'zhen'jun 移宵导天真君
'yi'xie'cu 一些醋
'yi'xie'mi'gen'shu 攲斜弥亘树
'yi'xin 医心
'yi'xin'er'yong'zhi'shu 一心二用之术
'yi'xin'jing'tu 一心净土
'yi'ya'lei 伊雅蕾
'yi'yang'de'yin'yong 抑扬的吟咏
'yi'yang'de'yue'guang 一样的月光
'yi'ye'hao'meng 一叶好梦
'yi'ye'xin'sheng 一叶新生
'yi'yi'ma'ni 伊伊马尼
'yi'yi'tong'xin 一意同心
'yi'yi'yan'rui 熠熠烟蕊
'yi'yi'yi 咦咦咦
'yi'yin 遗胤
'yi'ying 医樱
'yi'yong'bi'ji 医用笔迹
'yi'you'qu'xiang'guan'wei'yao'yi 以有趣相关为要义
'yi'yu'shen'hai'ding'you'ming 遗予神骸定幽冥
'yi'yu'yu'yu'zhui'yu'xing'dong 异域鱼鱼追渔行动
'yi'yuan'de'hui'yin 遗怨的回音
'yi'yue'ba 伊约芭
'yi'yun'dou'sheng 疑云陡生
'yi'ze 伊泽
'yi'ze'mu 伊泽姆
'yi'zha'de 伊扎德
'yi'zha'na 依扎娜
'yi'zha'pa 伊扎帕
'yi'zhan'dou'ping'xi 以战斗平息
'yi'zhan'qing'xiang 一盏清香
'yi'zhan'yang'zhan 以战养战
'yi'zheng 仪正
'yi'zheng'gong'ping 以证公平
'yi'zhi 一掷
'yi'zhi'bao'zhu 意智宝珠
'yi'zhi'hai'yu 益智海域
'yi'zhi'ming'xi'de'ji'ou 意志明晰的寄偶
'yi'zhi'po'sui'de'can'pian 意志破碎的残片
'yi'zhi'xun'you'de'fu'xiang 意志巡游的符像
'yi'zhong'de'qi'xu 异种的期许
'yi'zhong'li'ning'shui'ti 异重力凝水体
'yi'zhong'mo'gu 异种蘑菇
'yi'zhuang 衣装
'yi'zi'bo'ri 伊兹博日
'yi'zi'na 伊兹娜
'yi'zi'pa'pa 伊兹帕帕
'yi'zun'lie'xiang 一樽烈香
'yin'bi'jia'ting 荫蔽家庭
'yin'bo'gong'ming'dian 音波共鸣点
'yin'cang'de'mi'mi 隐藏的秘密
'yin'cang'de'shi'li 隐藏的实力
'yin'cao'de'zhe'xue 茵草的哲学
'yin'cao'de'zhi'yin 茵草的指引
'yin'dang'lin'lang 银铛琳琅
'yin'di'shi'cai 因地施材
'yin'die'zhi'zhang 引蝶之章
'yin'die'zuo 引蝶座
'yin'duo'ren 引舵人
'yin'er'bu'xuan'de'jie'xian 隐而不宣的界线
'yin'er'zhui 银耳坠
'yin'ge 银阁
'yin'gou'bai'ye'shu 银钩白椰树
'yin'guo'dian'po 因果点破
'yin'he'da'bian'che'zhi'nan 银河搭便车指南
'yin'hen 印痕
'yin'huo'duan'cui 音火锻淬
'yin'jian 银剑
'yin'jie 寅杰
'yin'jing'de'jin'zi 隐静的槿紫
'yin'jing'de'zhi'shao 隐静的枝梢
'yin'ju'mo'shu'jian 隐具魔术箭
'yin'ju'yu'shu 隐具余数
'yin'ka'na'ke 因卡纳克
'yin'kui'jiu'er'sheng'de'yi'shu 因愧疚而生的医术
'yin'le 隐乐
'yin'lei'tui'san 隐雷退散
'yin'lei'xiao'guo 引雷效果
'yin'lei'zhuang'tai 引雷状态
'yin'leng'shan'mu 银冷杉木
'yin'leng'shan'mu'yuan'xing'ai'zhuo 银冷杉木圆形矮桌
'yin'leng'shan'shu 银冷杉树
'yin'li 引理
'yin'li'lian'yi 引力涟漪
'yin'li'zhi 引力值
'yin'ling'jian'yu'xuan'niao 银翎翦玉玄鸟
'yin'ling'zhi'feng 引领之风
'yin'lu 饮露
'yin'lu'ren 引路人
'yin'lu'san'ye 饮露伞叶
'yin'lu'zuo 银鹿座
'yin'lun'pai 因论派
'yin'mi'gui'ju 隐秘规矩
'yin'ming'zhi'ting 吟鸣之亭
'yin'mo'de'lan'bao'shi'lei'di 堙没的蓝宝石泪滴
'yin'na 因娜
'yin'nai 音乃
'yin'ni'zhi'ling 隐匿之灵
'yin'pan 印磐
'yin'ping'ting'yuan 银瓶庭院
'yin'ran 引燃
'yin'ran'zhi'huo 阴燃之火
'yin'ran'zhi'zhu 阴燃之珠
'yin'shan 荫山
'yin'shan'ni'shou 隐山猊兽
'yin'shi'de'ling'jian 引示的铃箭
'yin'shi'wen'ti 饮食问题
'yin'shi'wu'shi 饮食武士
'yin'shi'xiu'xing'zhi'chu 隐世修行之处
'yin'shi'yuan'jian 隐视元件
'yin'shou 印绶
'yin'shou 隐兽
'yin'shou'gui'zhua 隐兽鬼爪
'yin'shou'li'zhua 隐兽利爪
'yin'shou'zhi'zhao 隐兽指爪
'yin'shou'zhuo 银手镯
'yin'su'bao'lie'fei'ti 音速爆裂飞踢
'yin'suo'ke 引索客
'yin'tai'lang 寅太郎
'yin'ti'fu 因提夫
'yin'ti'wa'te 因提瓦特
'yin'tu'chang'bing'wu'qi'yuan'pei 垠土长柄武器原胚
'yin'tu'dan'shou'jian'yuan'pei 垠土单手剑原胚
'yin'tu'fa'qi'yuan'pei 垠土法器原胚
'yin'tu'gong'yuan'pei 垠土弓原胚
'yin'tu'shuang'shou'jian'yuan'pei 垠土双手剑原胚
'yin'wei'ji'ban 因为羁绊
'yin'xiang'quan 银项圈
'yin'xing 银杏
'yin'xing 音型
'yin'xiu'hui 隐修会
'yin'ya'de'hui'sheng 喑哑的回声
'yin'yan'jian'yue'zhen 银燕翦月阵
'yin'yang'ge'hun'xiao 阴阳割昏晓
'yin'yao'jie'feng 银钥解封
'yin'ye'dian'zhu'man'tian'xing 银夜点注满天星
'yin'ye'gui'ling 引谒归灵
'yin'ye'ke'xiang 夤夜刻像
'yin'ye'zhi'zhu'dao 夤夜之祝祷
'yin'yi 阴翳
'yin'ying'pian'ran'yun'ying'mou 银影翩然韵盈眸
'yin'you'kan'po 因由勘破
'yin'you'shi'ren 吟游诗人
'yin'you'zhe'zhi'hu 吟游者之壶
'yin'yu'san'hong 饮羽散红
'yin'yu'zhi'quan 隐玉之泉
'yin'yuan'ting 银原厅
'yin'yue'bu'mie 音乐不灭
'yin'yue'jia 音乐家
'yin'yue'zhi'ting 银月之庭
'yin'zan 银簪
'yin'zhe 隐者
'yin'zhe'wang 隐者王
'yin'zhi'yue 银之月
'yin'zhong'you'yuan 隐众游园
'ying'ban'zhi'ke 萦绊之刻
'ying'bang'bang 硬邦邦
'ying'bin'di'tan 迎宾地毯
'ying'cang'zhi'di 盈藏之地
'ying'cao'er 荧草饵
'ying'cao'ku 荧草窟
'ying'chen'bu'dao 樱尘步道
'ying'chui'xue 樱吹雪
'ying'da 应达
'ying'da'dao'chan 影打刀镡
'ying'dang'ru'ci 应当如此
'ying'deng 萤灯
'ying'ding'bi'lei'zhang'peng 硬顶避雷帐篷
'ying'ding'shui'jing 硬顶水井
'ying'er 莺儿
'ying'fu'jin'fu 应付尽付
'ying'gai'an'quan 应该安全
'ying'ge'de 英戈德
'ying'gong 应公
'ying'guang 莹光
'ying'guang'bao'fen 荧光孢粉
'ying'guang'xia'dao 荧光狭道
'ying'hao'liao'luan 影貉缭乱
'ying'hong'shi 映红石
'ying'hui'liu'hua 莹辉流华
'ying'ji'hua'rui 盈极花蕊
'ying'ji'shi'pin 应急食品
'ying'ji'tian'xia'ren 影寂天下人
'ying'jie'zhi'yi 英杰之遗
'ying'jin'de'cang'tong 萦金的苍瞳
'ying'kan 硬砍
'ying'lang'wan 影狼丸
'ying'lei'de'gu'yuan 盈泪的故园
'ying'lie 鹰猎
'ying'lie'wei'ji 英烈伟迹
'ying'ling 鹰翎
'ying'ling'zhuang'tai 鹰翎状态
'ying'luo'zong'ming'suo 萦络纵命索
'ying'man'zhi'shi 盈满之实
'ying'mei 荧妹
'ying'mian 樱眠
'ying'mian'cai'tao'guan 硬面彩陶罐
'ying'mian'chang'zhuo 硬面长桌
'ying'mu'bing'ge'jia 硬木兵戈架
'ying'mu'zuo'ping 硬木座屏
'ying'qi'shi 莺泣石
'ying'que'liu'fan 盈缺流返
'ying'ran'de'jie'xiang 樱染的街巷
'ying'rao'zhong 萦绕种
'ying'shen 迎神
'ying'shi'huo'mu'zhi'ling 应时惑目之灵
'ying'shi'jia'gu'de'shui'jing 硬石加固的水井
'ying'shu'shi 萤术士
'ying'si'chao'xiu 鹰司朝秀
'ying'si'jia 鹰司家
'ying'sun'zhi'wu 鹰隼之舞
'ying'tian'zhi'zhang 映天之章
'ying'tian'zuo 映天座
'ying'wu 影舞
'ying'xi'lu'cao'zi'shang'dao 影徙露草自伤悼
'ying'xian'er'peng 应弦而砰
'ying'xiang'fu'xing 影向祓行
'ying'xiang'hai'luo 影像海螺
'ying'xiang'hai'tan 鹰翔海滩
'ying'xiang'li'bei'zeng'zhe 影响力倍增者
'ying'xiang'shan 影向山
'ying'xiang'shan'ye'xing'chi'hu'wan'ou 影向山夜行赤狐玩偶
'ying'xiao'dao 樱咲岛
'ying'xiong'de'yi'shi 英雄的仪式
'ying'xiong'er'du'gui'lai 英雄二度归来
'ying'xiong'zhi'li 英雄之礼
'ying'xu'zang'xiang 盈虚藏象
'ying'yang'zhi'yue 鹰扬之月
'ying'ying 映影
'ying'ying'hai'bao 映影海报
'ying'ying'liu'guang 盈盈流光
'ying'ying'shu'xie'zha'ji 映影书写札记
'ying'yong'hao'jiao 英勇号角
'ying'you 影鼬
'ying'you'jin'you'de'guo'shu'shi'chang 应有尽有的果蔬市场
'ying'you'shi'dang'de'xiu'qi 应有适当的休憩
'ying'yu'pai 鹰羽派
'ying'yue'zhi'jing 盈月之镜
'ying'zao'zhe'de'dan'dang 营造者的担当
'ying'zhao'fu'shi'feng'liu 影照浮世风流
'ying'zhen'xuan'jia 影阵玄甲
'ying'zhi'men 鹰之门
'ying'zhi'tai'deng 硬质台灯
'ying'zhi'zhai'gong 樱之斋宫
'ying'zhu 盈珠
'ying'zhuo'lu 硬着陆
'yo'hu 哟呼
'yo'huo'huo 哟嚯嚯
'yong'an 永安
'yong'bao'mei'hao'sheng'huo 拥抱美好生活
'yong'bing 佣兵
'yong'bing'tong'ling 佣兵统领
'yong'bing'zhong'jian 佣兵重剑
'yong'bu'shu'yu'sen'lin'de'hai'zi 永不属于森林的孩子
'yong'bu'ting'xie'de'xiu'lian 永不停歇的修炼
'yong'bu'xiu'zhi 永不休止
'yong'chang 咏唱
'yong'chen'de'jiu'ji 用臣的久计
'yong'dong 永冻
'yong'dong'bao'fa 涌动爆发
'yong'dong'dui 永冻队
'yong'dong'lang'chao 涌动浪潮
'yong'gan'de'bei'feng 勇敢的北风
'yong'gan'de'mao'xian'zhe'a 勇敢的冒险者啊
'yong'gan'de'te'kui 勇敢的特奎
'yong'heng'de'shou'hu'zhe 永恒的守护者
'yong'heng'de'song'fu'na 永恒的颂福纳
'yong'heng'de'xin'yang 永恒的信仰
'yong'heng'lv'zhou 永恒绿洲
'yong'heng'su'wei 永恒宿卫
'yong'heng'zhi'cheng 永恒之城
'yong'heng'zhi'tu 永恒之土
'yong'hu'meng'de 永护蒙德
'yong'jie'hui'huan'de'zhong'mo 永劫回还的终末
